title,path,url
Agentic Harness Engineering,Agents_and_Orchestration/agentic harness engg.pdf,https://arxiv.org/abs/2604.25850
Dive into Claude Code,Agents_and_Orchestration/dive into claude code architecture.pdf,https://arxiv.org/abs/2604.14228
Meta-Harness: End-to-End Optimization of Model Harnesses,Agents_and_Orchestration/meta harness.pdf,https://arxiv.org/abs/2603.28052
LLMs Get Lost in Multi-Turn Conversation,Agents_and_Orchestration/multi turn conversation.pdf,https://arxiv.org/abs/2505.06120
THREAD: Thinking Deeper with Recursive Spawning,Agents_and_Orchestration/recursive spawning for deeper thinking.pdf,https://arxiv.org/abs/2405.17402
SkillOpt: Executive Strategy for Self-Evolving Agent Skills,Agents_and_Orchestration/skillopt self evolving agent skills.pdf,https://arxiv.org/abs/2605.23904
DFA-RAG: Conversational Semantic Router with Definite Finite Automaton,Dialogue_Systems/Dialogue_Policy_Planning/dfa rag conversational semantic router.pdf,https://arxiv.org/abs/2402.04411
DiagGPT: Multi-Agent Dialogue System with Automatic Topic Management,Dialogue_Systems/Dialogue_Policy_Planning/diaggpt multi agent tod.pdf,https://arxiv.org/abs/2308.08043
GOPO: Goal-Oriented Preference Optimization,Dialogue_Systems/Dialogue_Policy_Planning/gopo goal oriented preference optimization.pdf,https://arxiv.org/abs/2602.15854
PPDPP: Plug-and-Play Dialogue Policy Planner,Dialogue_Systems/Dialogue_Policy_Planning/ppdpp plug and play policy planner.pdf,https://arxiv.org/abs/2311.00262
Script-Based Dialog Policy Planning for an AI Therapist,Dialogue_Systems/Dialogue_Policy_Planning/script based dialog policy ai therapist.pdf,https://arxiv.org/abs/2412.15242
Gauchobot: Building Robust TOD Systems from Scratch,Dialogue_Systems/Task_Oriented_Dialogue_Systems/gauchobot tod system from scratch.pdf,https://sites.cs.ucsb.edu/~xyan/papers/alexa22-gauchobot.pdf
HierTOD: Task-Oriented Dialogue Driven by Hierarchical Goals,Dialogue_Systems/Task_Oriented_Dialogue_Systems/hiertod hierarchical goal tod.pdf,https://arxiv.org/abs/2411.07152
Schema Graph-Guided Prompt for Multi-Domain Dialogue State Tracking,Dialogue_Systems/Task_Oriented_Dialogue_Systems/schema graph dialogue state tracking.pdf,https://arxiv.org/abs/2311.06345
Revisiting Clustering for Efficient Unsupervised Dialogue Structure Induction,Dialogue_Systems/Dialogue_Evaluation_and_Structure/clustering for dialogue structure induction.pdf,
DialogRPT: Dialogue Response Ranking with Human Feedback,Dialogue_Systems/Dialogue_Evaluation_and_Structure/dialogrpt response ranking feedback.pdf,https://arxiv.org/abs/2009.06978
Learning under Concept Drift: A Review,Drift_and_Distribution_Shift/concept drift survery paper.pdf,https://arxiv.org/abs/2004.05785
DeepContext: Stateful Real-Time Detection of Multi-Turn Adversarial Intent Drift in LLMs,Evaluation_and_Safety/Safety_and_Guardrails/drift detection.pdf,https://arxiv.org/abs/2602.16935
ARES: Automated Evaluation Framework for RAG Systems,Evaluation_and_Safety/Evaluation/ares evaluation.pdf,https://arxiv.org/abs/2311.09476
Dolphin: Document Image Parsing via Heterogeneous Anchor Prompting,Evaluation_and_Safety/Evaluation/dolphin llm.pdf,https://arxiv.org/abs/2505.14059
Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,Evaluation_and_Safety/Evaluation/llm as judge.pdf,https://arxiv.org/abs/2306.05685
RACE: Reasoning-Augmented Conversation for Multi-Turn Jailbreak Attacks,Evaluation_and_Safety/Safety_and_Guardrails/jailbreak using attack sm.pdf,https://arxiv.org/abs/2502.11054
JavelinGuard: Low-Cost Transformer Architectures for LLM Security,Evaluation_and_Safety/Safety_and_Guardrails/javelin guard.pdf,https://arxiv.org/abs/2506.07330
DOPD: Dual On-Policy Distillation,Finetuning_and_Alignment/Distillation_and_SFT/dopd dual on policy distillation.pdf,https://arxiv.org/abs/2606.30626
Privileged Information Distillation for Language Models,Finetuning_and_Alignment/Distillation_and_SFT/privileged information distillation for llms.pdf,https://arxiv.org/abs/2602.04942
TESSY: Teacher-Student Cooperation Framework for SFT Data,Finetuning_and_Alignment/Distillation_and_SFT/teacher student sft.pdf,https://arxiv.org/abs/2604.14164
Neural Text Degeneration with Unlikelihood Training,Finetuning_and_Alignment/Distillation_and_SFT/unlikelihood training.pdf,https://arxiv.org/abs/1908.04319
DLP-LoRA: Efficient Task-Specific LoRA Fusion,Finetuning_and_Alignment/PEFT/dlp lora.pdf,https://arxiv.org/abs/2410.01497
